link_id,flow_pce_per_period,cost_min
11872,0.0,0.095888
11873,2.7897980104696383,0.08866402552032222
11874,2.7897980104696383,0.1466080421984503
11875,0.0,0.141964
11876,0.0,0.082172
11877,18.994189358123784,0.11732156533354993
11878,0.0,0.116424
11879,0.0,0.116424
11880,0.0,0.0727746666666666
11953,0.0,0.052432
11954,0.0,0.052432
11955,0.0,0.072598
11956,0.0,0.072598
11957,0.0,0.131746
11958,2.7897980104696383,0.31490009063824626
11959,0.0,0.183682
11960,0.0,0.112162
11961,0.0,0.112162
11962,0.0,0.203856
11963,0.0,0.203856
11964,0.0,0.043716
11965,2.7897980104696383,0.04071401171878551
11966,0.0,0.060876
11967,0.0,0.082992
11968,0.0,0.016252
11969,2.7897980104696383,0.01896000545729168
11970,0.0,0.00867
11971,0.0,0.032698
11972,0.0,0.103624
11973,0.0,0.103624
11974,0.0,0.323942
11975,0.0,0.323942
11976,0.0,0.014218
11977,0.0,0.014218
11978,0.0,0.07748
11979,0.0,0.07748
11980,0.0,0.074124
11981,0.0,0.074124
11982,0.0,0.012132
11983,0.0,0.012132
11984,0.0,0.077054
11985,0.0,0.077054
11986,0.0,0.050474
11987,0.0,0.050474
11988,2.7897980104696383,0.09786802816952646
11989,2.7897980104696383,0.09039002601711997
11990,0.0,0.105116
11991,0.0,0.08278
11992,0.0,0.15927
11993,2.7897980104696383,0.15206804377001218
11994,0.0,0.01587
11995,0.0,0.01587
11996,0.0,0.047376
11997,0.0,0.41013
11998,0.0,0.41013
11999,18.994189358123784,0.224501649721685
12,0.0,0.373638
12000,0.0,0.126644
12001,0.0,0.126644
12002,0.0,0.100424
12003,0.0,0.100424
12004,0.0,0.009112
12005,0.0,0.009112
12006,0.0,0.06221
12007,0.0,0.06221
12008,0.0,0.078764
12009,18.994189358123784,0.14879198521973147
12010,0.0,0.21832
12011,0.0,0.0641266666666666
12012,0.0,0.016458
12013,18.994189358123784,0.01645821958966557
12014,0.0,0.0521026666666666
12015,0.0,0.0631813333333333
12016,1.7109684081811203,0.04048800438332446
12017,1.7109684081811203,0.08930000966782439
12018,0.0,0.0893
12019,0.0,0.1300093333333333
12020,1.7109684081811203,0.021098002284118237
12021,0.21630335335006592,0.021098000036505735
12022,0.0,0.09612
12023,1.7109684081811203,0.09612001040617334
12024,1.7109684081811203,0.10879001177785683
12025,0.0,0.10879
12026,0.0,0.0989599999999999
12027,0.0,0.0340026666666666
12028,0.0,0.211828
12029,0.0,0.115862
12068,0.0,0.0553586666666666
12069,0.0,0.020136
12070,0.0,0.0852213333333333
12071,0.0,0.0702333333333333
12072,0.0,0.0539266666666666
12073,0.0,0.0840333333333333
12074,0.0,0.048648
12075,0.0,0.05391
12076,0.0,0.0284973333333333
12077,0.0,0.0055493333333333
12078,0.0,0.0040719999999999
12079,0.0,0.063614
12080,0.0,0.033748
12081,0.0,0.0596973333333333
12082,0.0,0.0929506666666666
12083,0.0,0.1982919999999999
12084,0.0,0.1122826666666666
12085,0.0,0.01162
12086,0.0,0.155288
12087,2.7897980104696383,0.018736005392817345
12088,2.7897980104696383,0.14996604316498963
12089,0.0,0.0121653333333333
12090,0.0,0.019338
12091,0.0,0.0530586666666666
12092,2.7897980104696383,0.12118203488003797
12093,0.0,0.12634
12096,18.994189358123784,0.1118854928041161
12097,18.994189358123784,0.18360644972298926
12106,18.994189358123784,0.10347938064767372
12107,0.0,0.21597
12108,2.7897980104696383,0.217560062620695
12109,0.0,0.059886
12110,2.7897980104696383,0.06034801737007585
12111,0.0,0.06533
12112,0.0,0.411738
12113,0.0,0.411738
12114,0.0,0.191058
12115,0.0,0.115796
12116,0.0,0.198584
12117,0.0,0.198584
12118,0.0,0.176632
12119,0.0,0.176632
12120,0.0,0.271298
