link_id,s1_volume,s1_travel_time,s1_vc_ratio,s2_volume,s2_travel_time,s2_vc_ratio,delta_volume,delta_travel_time,delta_status
12071,0.0,0.0702333333333333,0.0,0.0,0.0702333333333333,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
12075,0.0,0.05391,0.0,0.0,0.05391,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
12076,0.0,0.0284973333333333,0.0,0.0,0.0284973333333333,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
4730,0.0,0.126562,0.0,0.0,0.126562,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
4732,0.0,0.011106,0.0,0.0,0.011106,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
15889,0.0,0.216092,0.0,0.0,0.216092,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
16501,6.112491910487158,0.1392861924586229,0.0023509584271104,6.10929047038336,0.1392861922570739,0.0023497271039936,-0.003201440103797637,-2.0154899971203122e-10,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
16381,6.112491910487158,0.1339181850413815,0.0023509584271104,6.10929047038336,0.1339181848476001,0.0023497271039936,-0.003201440103797637,-1.9378140758696816e-10,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
16512,6.112491910487158,0.2473163417292246,0.0023509584271104,6.10929047038336,0.2473163413713545,0.0023497271039936,-0.003201440103797637,-3.578700946693658e-10,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
16513,6.112491910487158,0.2018502789065163,0.0023509584271104,6.10929047038336,0.2018502786144362,0.0023497271039936,-0.003201440103797637,-2.9208011009806967e-10,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
16548,0.0,0.015916,0.0,0.0,0.015916,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
15243,0.0,0.1055373333333333,0.0,0.0,0.1055373333333333,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
15244,0.0,0.105464,0.0,0.0,0.105464,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11957,0.0,0.131746,0.0,0.0,0.131746,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11992,0.0,0.15927,0.0,0.0,0.15927,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11990,0.0,0.105116,0.0,0.0,0.105116,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11958,0.0,0.3149,0.0,0.0,0.3149,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11969,0.0,0.01896,0.0,0.0,0.01896,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11967,0.0,0.082992,0.0,0.0,0.082992,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
11991,0.0,0.08278,0.0,0.0,0.08278,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10646,0.0,0.046162,0.0,0.0,0.046162,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10608,0.0,0.068756,0.0,0.0,0.068756,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10648,0.0,0.112922,0.0,0.0,0.112922,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10647,0.0,0.046162,0.0,0.0,0.046162,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10680,0.0,0.021326,0.0,0.0,0.021326,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
10437,0.0,0.163344,0.0,0.0,0.163344,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
8449,0.0,0.158828,0.0,0.0,0.158828,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
8581,0.0,0.440474,0.0,0.0,0.440474,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
8641,0.0,0.020978,0.0,0.0,0.020978,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
8606,0.0,0.32745,0.0,0.0,0.32745,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
17407,0.0,0.187178,0.0,0.0,0.187178,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
17437,0.0,0.237774,0.0,0.0,0.237774,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
14500,0.0,0.051906,0.0,0.0,0.051906,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
14501,0.0,0.051906,0.0,0.0,0.051906,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
14499,0.0,0.199562,0.0,0.0,0.199562,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
14496,0.0,0.323352,0.0,0.0,0.323352,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
17446,0.0,0.077002,0.0,0.0,0.077002,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
17408,0.0,0.110726,0.0,0.0,0.110726,0.0,0.0,0.0,MODEL_INTERNAL_PANEL_RESPONSE_NOT_OBSERVED_CAUSAL_EFFECT
