path_id,path_index,link_order,link_id,link_index
OD004_P04,24,5,18121,3708
OD004_P04,24,6,18153,2321
OD004_P04,24,7,17775,2323
OD004_P04,24,8,17812,1194
OD004_P04,24,9,17773,1198
OD004_P04,24,10,18191,3838
OD004_P04,24,11,18093,4812
OD004_P04,24,12,18149,67
OD004_P04,24,13,18114,68
OD004_P04,24,14,18116,2317
OD004_P04,24,15,18163,2326
OD004_P04,24,16,18166,3251
OD004_P04,24,17,18156,1982
OD004_P04,24,18,18167,1978
OD004_P04,24,19,18090,1981
OD004_P04,24,20,18228,2185
OD004_P04,24,21,18227,124
OD004_P04,24,22,18230,120
OD004_P04,24,23,18212,123
OD004_P04,24,24,18232,127
OD005_P00,25,0,14190,1959
OD005_P00,25,1,13491,2652
OD005_P00,25,2,14027,301
OD005_P00,25,3,13489,304
OD005_P00,25,4,14191,3565
OD005_P00,25,5,14115,1877
OD005_P00,25,6,13490,1394
OD005_P00,25,7,14103,1223
OD005_P00,25,8,12219,1217
OD005_P00,25,9,14794,1219
OD005_P00,25,10,14355,1222
OD005_P00,25,11,14360,3922
OD005_P00,25,12,15504,2363
OD005_P00,25,13,14253,2355
OD005_P00,25,14,16769,2356
OD005_P00,25,15,16770,3599
OD005_P00,25,16,16768,393
OD005_P00,25,17,16777,337
OD005_P00,25,18,16764,335
OD005_P00,25,19,16763,2586
OD005_P00,25,20,16778,2588
OD005_P00,25,21,16779,2380
OD005_P00,25,22,15617,2381
OD005_P00,25,23,16286,2687
OD005_P00,25,24,16179,2690
OD005_P00,25,25,16306,487
OD005_P00,25,26,15868,488
OD005_P00,25,27,16507,636
OD005_P00,25,28,16382,1845
OD005_P00,25,29,16586,5060
OD005_P00,25,30,15602,1503
OD005_P00,25,31,17020,1505
OD005_P00,25,32,17016,1511
OD005_P00,25,33,17014,1231
OD005_P00,25,34,17036,808
OD005_P01,26,0,14190,1959
OD005_P01,26,1,13491,2652
OD005_P01,26,2,14027,301
OD005_P01,26,3,13489,304
OD005_P01,26,4,14191,3565
OD005_P01,26,5,14115,1877
OD005_P01,26,6,13490,1394
OD005_P01,26,7,14110,1224
OD005_P01,26,8,14111,1225
OD005_P01,26,9,14104,1411
OD005_P01,26,10,12219,1217
OD005_P01,26,11,14794,1219
OD005_P01,26,12,14355,1222
OD005_P01,26,13,14360,3922
OD005_P01,26,14,15504,2363
OD005_P01,26,15,14253,2355
OD005_P01,26,16,16769,2356
OD005_P01,26,17,16770,3599
OD005_P01,26,18,16768,393
OD005_P01,26,19,16777,337
OD005_P01,26,20,16764,335
OD005_P01,26,21,16763,2586
OD005_P01,26,22,16778,2588
OD005_P01,26,23,16779,2380
OD005_P01,26,24,15617,2381
OD005_P01,26,25,16286,2687
OD005_P01,26,26,16179,2690
OD005_P01,26,27,16306,487
OD005_P01,26,28,15868,488
OD005_P01,26,29,16507,636
OD005_P01,26,30,16382,1845
OD005_P01,26,31,16586,5060
OD005_P01,26,32,15602,1503
OD005_P01,26,33,17020,1505
OD005_P01,26,34,17016,1511
OD005_P01,26,35,17014,1231
OD005_P01,26,36,17036,808
OD005_P02,27,0,14190,1959
OD005_P02,27,1,13491,2652
OD005_P02,27,2,14027,301
OD005_P02,27,3,13489,304
OD005_P02,27,4,14191,3565
OD005_P02,27,5,14115,1877
OD005_P02,27,6,13490,1394
OD005_P02,27,7,14103,1223
OD005_P02,27,8,12219,1217
OD005_P02,27,9,14794,1219
OD005_P02,27,10,14355,1222
OD005_P02,27,11,14360,3922
OD005_P02,27,12,15504,2363
OD005_P02,27,13,14253,2355
OD005_P02,27,14,16769,2356
OD005_P02,27,15,16770,3599
OD005_P02,27,16,16768,393
OD005_P02,27,17,16777,337
OD005_P02,27,18,16764,335
OD005_P02,27,19,16763,2586
OD005_P02,27,20,16778,2588
OD005_P02,27,21,16779,2380
OD005_P02,27,22,15617,2381
OD005_P02,27,23,16285,2686
OD005_P02,27,24,16287,2689
OD005_P02,27,25,16179,2690
OD005_P02,27,26,16306,487
OD005_P02,27,27,15868,488
OD005_P02,27,28,16507,636
OD005_P02,27,29,16382,1845
OD005_P02,27,30,16586,5060
OD005_P02,27,31,15602,1503
OD005_P02,27,32,17020,1505
OD005_P02,27,33,17016,1511
OD005_P02,27,34,17014,1231
OD005_P02,27,35,17036,808
OD005_P03,28,0,14190,1959
OD005_P03,28,1,13491,2652
OD005_P03,28,2,14027,301
OD005_P03,28,3,13489,304
OD005_P03,28,4,14191,3565
OD005_P03,28,5,14115,1877
OD005_P03,28,6,13490,1394
OD005_P03,28,7,14110,1224
OD005_P03,28,8,14111,1225
OD005_P03,28,9,14104,1411
OD005_P03,28,10,12219,1217
OD005_P03,28,11,14794,1219
OD005_P03,28,12,14355,1222
OD005_P03,28,13,14360,3922
OD005_P03,28,14,15504,2363
OD005_P03,28,15,14253,2355
OD005_P03,28,16,16769,2356
OD005_P03,28,17,16770,3599
OD005_P03,28,18,16768,393
OD005_P03,28,19,16777,337
OD005_P03,28,20,16764,335
OD005_P03,28,21,16763,2586
OD005_P03,28,22,16778,2588
OD005_P03,28,23,16779,2380
OD005_P03,28,24,15617,2381
OD005_P03,28,25,16285,2686
OD005_P03,28,26,16287,2689
OD005_P03,28,27,16179,2690
OD005_P03,28,28,16306,487
OD005_P03,28,29,15868,488
OD005_P03,28,30,16507,636
OD005_P03,28,31,16382,1845
OD005_P03,28,32,16586,5060
OD005_P03,28,33,15602,1503
OD005_P03,28,34,17020,1505
OD005_P03,28,35,17016,1511
OD005_P03,28,36,17014,1231
OD005_P03,28,37,17036,808
OD005_P04,29,0,14190,1959
OD005_P04,29,1,13491,2652
OD005_P04,29,2,14027,301
OD005_P04,29,3,13489,304
OD005_P04,29,4,14191,3565
OD005_P04,29,5,14115,1877
OD005_P04,29,6,13490,1394
OD005_P04,29,7,14110,1224
OD005_P04,29,8,14112,1226
OD005_P04,29,9,14113,1417
OD005_P04,29,10,14104,1411
OD005_P04,29,11,12219,1217
OD005_P04,29,12,14794,1219
OD005_P04,29,13,14355,1222
OD005_P04,29,14,14360,3922
OD005_P04,29,15,15504,2363
OD005_P04,29,16,14253,2355
OD005_P04,29,17,16769,2356
OD005_P04,29,18,16770,3599
OD005_P04,29,19,16768,393
OD005_P04,29,20,16777,337
OD005_P04,29,21,16764,335
OD005_P04,29,22,16763,2586
OD005_P04,29,23,16778,2588
OD005_P04,29,24,16779,2380
OD005_P04,29,25,15617,2381
OD005_P04,29,26,16286,2687
OD005_P04,29,27,16179,2690
OD005_P04,29,28,16306,487
OD005_P04,29,29,15868,488
OD005_P04,29,30,16507,636
OD005_P04,29,31,16382,1845
OD005_P04,29,32,16586,5060
OD005_P04,29,33,15602,1503
OD005_P04,29,34,17020,1505
OD005_P04,29,35,17016,1511
OD005_P04,29,36,17014,1231
OD005_P04,29,37,17036,808
OD006_P00,30,0,14190,1959
OD006_P00,30,1,13491,2652
OD006_P00,30,2,14027,301
OD006_P00,30,3,13489,304
OD006_P00,30,4,14191,3565
OD006_P00,30,5,14115,1877
OD006_P00,30,6,13490,1394
OD006_P00,30,7,14103,1223
OD006_P00,30,8,12219,1217
OD006_P00,30,9,14794,1219
OD006_P00,30,10,14355,1222
OD006_P00,30,11,14360,3922
OD006_P00,30,12,15504,2363
OD006_P00,30,13,14254,2354
OD006_P00,30,14,16798,1278
OD006_P00,30,15,16799,265
OD006_P00,30,16,16782,1279
OD006_P00,30,17,16800,2673
OD006_P00,30,18,16801,2675
OD006_P00,30,19,16784,5064
OD006_P00,30,20,16618,1150
OD006_P00,30,21,16889,1152
OD006_P00,30,22,16819,853
OD006_P00,30,23,16908,847
OD006_P00,30,24,16907,849
OD006_P00,30,25,16897,852
OD006_P00,30,26,16918,3758
OD006_P00,30,27,16924,4732
OD006_P00,30,28,16621,3732
OD006_P00,30,29,17113,3733
OD006_P00,30,30,17117,3734
OD006_P00,30,31,17116,3729
OD006_P00,30,32,17112,3730
OD006_P00,30,33,17061,3738
OD006_P00,30,34,16603,238
OD006_P00,30,35,17037,241
OD006_P00,30,36,17040,2822
OD006_P00,30,37,17049,5065
OD006_P00,30,38,17052,3937
OD006_P00,30,39,15650,5041
OD006_P00,30,40,18009,600
OD006_P00,30,41,18006,407
OD006_P01,31,0,14190,1959
OD006_P01,31,1,13491,2652
OD006_P01,31,2,14027,301
OD006_P01,31,3,13489,304
OD006_P01,31,4,14191,3565
OD006_P01,31,5,14115,1877
OD006_P01,31,6,13490,1394
